Support Item Number,Support Item Name,Registration Group Number,Registration Group Name,Support Category Number,Support Category Name,Unit,Quote,Start date,End Date,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,P01,P02,Non-Face-to-Face Support Provision,Provider Travel,Short Notice Cancellations.,NDIA Requested Reports,Irregular SIL Supports,Type
03_150930088_0103_1_1,HEN - Other equipment,0103,Assistive Products For Personal Care And Safety,3,Consumables,E,No,20220701,99991231,,,,,,,,,,,N,N,N,N,N,
03_220300911_0113_1_1,Low Cost AT - Vision Related AT,0113,Vision Equipment,3,Consumables,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
03_220600911_0122_1_1,Low Cost AT - Hearing Related AT,0122,Hearing Equipment,3,Consumables,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
03_222100911_0124_1_1,Low Cost AT - Communication Or Cognitive Support,0124,Communication And Information Equipment,3,Consumables,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
03_501509092_0103_1_1,Repairs and Maintenance - HEN AT,0103,Assistive Products For Personal Care And Safety,3,Consumables,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
03_710400002_0103_1_1,Disability-Related Health Equipment and Consumables - Set Up/Training,0103,Assistive Products For Personal Care And Safety,3,Consumables,E,No,20220701,99991231,,,,,,,,,,,N,N,N,N,N,
03_710930080_0103_1_1,Delivery - Personal care Safety and Disability-related HealthConsumables,0103,Assistive Products For Personal Care And Safety,3,Consumables,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
03_900100155_0130_1_1,Assistance Dog (Including Guide Dog) Ongoing Costs,0130,Assistance Animals,3,Consumables,MON,No,20220701,99991231,$238.45,$238.45,$238.45,$238.45,$238.45,$238.45,$238.45,$238.45,$238.45,$238.45,N,N,N,N,N,Price Limited Supports
04_049_0104_1_1,Establishment Fee For Personal Care/Participation,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",E,No,20220701,99991231,$621.70,$621.70,$621.70,$621.70,$621.70,$621.70,$621.70,$621.70,$870.38,$932.55,N,N,N,N,N,Price Limited Supports
04_049_0125_1_1,Establishment Fee For Personal Care/Participation,0125,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",E,No,20220701,99991231,$621.70,$621.70,$621.70,$621.70,$621.70,$621.70,$621.70,$621.70,$870.38,$932.55,N,N,N,N,N,Price Limited Supports
04_049_0133_5_1,Establishment Fee For Personal Care/Participation,0133,Specialised Supported Employment,4,"Assistance with Social, Economic and Community Participation",E,No,20220701,99991231,$621.70,$621.70,$621.70,$621.70,$621.70,$621.70,$621.70,$621.70,$870.38,$932.55,N,N,N,N,N,Price Limited Supports
04_049_0136_1_1,Establishment Fee For Personal Care/Participation,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",E,No,20220701,99991231,$621.70,$621.70,$621.70,$621.70,$621.70,$621.70,$621.70,$621.70,$870.38,$932.55,N,N,N,N,N,Price Limited Supports
04_102_0125_6_1,Access Community Social and Rec Activ - Standard - Public Holiday,0125,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$138.20,$138.20,$138.20,$138.20,$138.20,$138.20,$138.20,$138.20,$193.48,$207.30,Y,Y,Y,N,N,Price Limited Supports
04_102_0125_6_1_T,Access Community Social and Rec Activ - Standard - Public Holiday - TTP,0125,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$142.35,$142.35,$142.35,$142.35,$142.35,$142.35,$142.35,$142.35,$199.29,$213.53,Y,Y,Y,N,N,Price Limited Supports
04_102_0136_6_1,Group Activities - Standard - Weekday Daytime,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$62.17,$62.17,$62.17,$62.17,$62.17,$62.17,$62.17,$62.17,$87.04,$93.26,Y,Y,Y,N,N,Price Limited Supports
04_102_0136_6_1_T,Group Activities - Standard - Weekday Daytime - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$64.04,$64.04,$64.04,$64.04,$64.04,$64.04,$64.04,$64.04,$89.66,$96.06,Y,Y,Y,N,N,Price Limited Supports
04_103_0125_6_1,Access Community Social and Rec Activ - Standard - Weekday Evening,0125,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$68.50,$68.50,$68.50,$68.50,$68.50,$68.50,$68.50,$68.50,$95.90,$102.75,Y,Y,Y,N,N,Price Limited Supports
04_103_0125_6_1_T,Access Community Social and Rec Activ - Standard - Weekday Evening - TTP,0125,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$70.56,$70.56,$70.56,$70.56,$70.56,$70.56,$70.56,$70.56,$98.78,$105.84,Y,Y,Y,N,N,Price Limited Supports
04_103_0136_6_1,Group Activities - Standard - Weekday Evening,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$68.50,$68.50,$68.50,$68.50,$68.50,$68.50,$68.50,$68.50,$95.90,$102.75,Y,Y,Y,N,N,Price Limited Supports
04_103_0136_6_1_T,Group Activities - Standard - Weekday Evening - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$70.56,$70.56,$70.56,$70.56,$70.56,$70.56,$70.56,$70.56,$98.78,$105.84,Y,Y,Y,N,N,Price Limited Supports
04_104_0125_6_1,Access Community Social and Rec Activ - Standard - Weekday Daytime,0125,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$62.17,$62.17,$62.17,$62.17,$62.17,$62.17,$62.17,$62.17,$87.04,$93.26,Y,Y,Y,N,N,Price Limited Supports
04_104_0125_6_1_T,Access Community Social and Rec Activ - Standard - Weekday Daytime - TTP,0125,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$64.04,$64.04,$64.04,$64.04,$64.04,$64.04,$64.04,$64.04,$89.66,$96.06,Y,Y,Y,N,N,Price Limited Supports
04_104_0136_6_1,Group Activities - Standard - Saturday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$87.51,$87.51,$87.51,$87.51,$87.51,$87.51,$87.51,$87.51,$122.51,$131.27,Y,Y,Y,N,N,Price Limited Supports
04_104_0136_6_1_T,Group Activities - Standard - Saturday - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$90.14,$90.14,$90.14,$90.14,$90.14,$90.14,$90.14,$90.14,$126.20,$135.21,Y,Y,Y,N,N,Price Limited Supports
04_105_0125_6_1,Access Community Social and Rec Activ - Standard - Saturday,0125,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$87.51,$87.51,$87.51,$87.51,$87.51,$87.51,$87.51,$87.51,$122.51,$131.27,Y,Y,Y,N,N,Price Limited Supports
04_105_0125_6_1_T,Access Community Social and Rec Activ - Standard - Saturday - TTP,0125,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$90.14,$90.14,$90.14,$90.14,$90.14,$90.14,$90.14,$90.14,$126.20,$135.21,Y,Y,Y,N,N,Price Limited Supports
04_105_0136_6_1,Group Activities - Standard - Sunday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$112.85,$112.85,$112.85,$112.85,$112.85,$112.85,$112.85,$112.85,$157.99,$169.28,Y,Y,Y,N,N,Price Limited Supports
04_105_0136_6_1_T,Group Activities - Standard - Sunday - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$116.24,$116.24,$116.24,$116.24,$116.24,$116.24,$116.24,$116.24,$162.74,$174.36,Y,Y,Y,N,N,Price Limited Supports
04_106_0125_6_1,Access Community Social and Rec Activ - Standard - Sunday,0125,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$112.85,$112.85,$112.85,$112.85,$112.85,$112.85,$112.85,$112.85,$157.99,$169.28,Y,Y,Y,N,N,Price Limited Supports
04_106_0125_6_1_T,Access Community Social and Rec Activ - Standard - Sunday - TTP,0125,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$116.24,$116.24,$116.24,$116.24,$116.24,$116.24,$116.24,$116.24,$162.74,$174.36,Y,Y,Y,N,N,Price Limited Supports
04_106_0136_6_1,Group Activities - Standard - Public Holiday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$138.20,$138.20,$138.20,$138.20,$138.20,$138.20,$138.20,$138.20,$193.48,$207.30,Y,Y,Y,N,N,Price Limited Supports
04_106_0136_6_1_T,Group Activities - Standard - Public Holiday - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$142.35,$142.35,$142.35,$142.35,$142.35,$142.35,$142.35,$142.35,$199.29,$213.53,Y,Y,Y,N,N,Price Limited Supports
04_111_0136_6_1,Group Activities In The Community - 1:2 - Standard - Weekday Daytime,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$34.82,$34.82,$34.82,$34.82,$34.82,$34.82,$34.82,$34.82,$48.75,$52.23,N,Y,Y,N,N,Price Limited Supports
04_111_0136_6_1_T,Group Activities In The Community - 1:2 - Standard - Weekday Daytime-TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$35.86,$35.86,$35.86,$35.86,$35.86,$35.86,$35.86,$35.86,$50.20,$53.79,N,Y,Y,N,N,Price Limited Supports
04_112_0136_6_1,Group Activities In The Community - 1:2 - Standard - Saturday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$49.01,$49.01,$49.01,$49.01,$49.01,$49.01,$49.01,$49.01,$68.61,$73.52,N,Y,Y,N,N,Price Limited Supports
04_112_0136_6_1_T,Group Activities In The Community - 1:2 - Standard - Saturday - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$50.48,$50.48,$50.48,$50.48,$50.48,$50.48,$50.48,$50.48,$70.67,$75.72,N,Y,Y,N,N,Price Limited Supports
04_113_0136_6_1,Group Activities In The Community - 1:2 - Standard - Sunday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$63.20,$63.20,$63.20,$63.20,$63.20,$63.20,$63.20,$63.20,$88.48,$94.80,N,Y,Y,N,N,Price Limited Supports
04_113_0136_6_1_T,Group Activities In The Community - 1:2 - Standard - Sunday - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$65.09,$65.09,$65.09,$65.09,$65.09,$65.09,$65.09,$65.09,$91.13,$97.64,N,Y,Y,N,N,Price Limited Supports
04_114_0136_6_1,Group Activities In The Community - 1:2 - Standard - Weekday Evening,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$38.36,$38.36,$38.36,$38.36,$38.36,$38.36,$38.36,$38.36,$53.70,$57.54,N,Y,Y,N,N,Price Limited Supports
04_114_0136_6_1_T,Group Activities In The Community - 1:2 - Standard - Weekday Evening - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$39.51,$39.51,$39.51,$39.51,$39.51,$39.51,$39.51,$39.51,$55.31,$59.27,N,Y,Y,N,N,Price Limited Supports
04_116_0104_6_1,Group Activities In The Community - 1:2 - High Intensity - Weekday Daytime,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$37.68,$37.68,$37.68,$37.68,$37.68,$37.68,$37.68,$37.68,$52.75,$56.52,N,Y,Y,N,N,Price Limited Supports
04_116_0104_6_1_T,Group Activities In The Community - 1:2 - High Intensity - Weekday Daytime - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$38.72,$38.72,$38.72,$38.72,$38.72,$38.72,$38.72,$38.72,$54.21,$58.08,N,Y,Y,N,N,Price Limited Supports
04_117_0104_6_1,Group Activities In The Community - 1:2 - High Intensity - Saturday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$53.04,$53.04,$53.04,$53.04,$53.04,$53.04,$53.04,$53.04,$74.26,$79.56,N,Y,Y,N,N,Price Limited Supports
04_117_0104_6_1_T,Group Activities In The Community - 1:2 - High Intensity - Saturday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$54.51,$54.51,$54.51,$54.51,$54.51,$54.51,$54.51,$54.51,$76.31,$81.77,N,Y,Y,N,N,Price Limited Supports
04_118_0104_6_1,Group Activities In The Community - 1:2 - High Intensity - Sunday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$68.40,$68.40,$68.40,$68.40,$68.40,$68.40,$68.40,$68.40,$95.76,$102.60,N,Y,Y,N,N,Price Limited Supports
04_118_0104_6_1_T,Group Activities In The Community - 1:2 - High Intensity - Sunday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$70.30,$70.30,$70.30,$70.30,$70.30,$70.30,$70.30,$70.30,$98.42,$105.45,N,Y,Y,N,N,Price Limited Supports
04_119_0104_6_1,Group Activities In The Community - 1:2 - High Intensity - Weekday Evening,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$41.52,$41.52,$41.52,$41.52,$41.52,$41.52,$41.52,$41.52,$58.13,$62.28,N,Y,Y,N,N,Price Limited Supports
04_119_0104_6_1_T,Group Activities In The Community - 1:2 - High Intensity - Weekday Evening - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$42.67,$42.67,$42.67,$42.67,$42.67,$42.67,$42.67,$42.67,$59.74,$64.01,N,Y,Y,N,N,Price Limited Supports
04_120_0136_6_1,Group Activities In The Community - 1:3 - Standard - Weekday Daytime,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$25.70,$25.70,$25.70,$25.70,$25.70,$25.70,$25.70,$25.70,$35.98,$38.55,N,Y,Y,N,N,Price Limited Supports
04_120_0136_6_1_T,Group Activities In The Community - 1:3 - Standard - Weekday Daytime - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$26.47,$26.47,$26.47,$26.47,$26.47,$26.47,$26.47,$26.47,$37.06,$39.71,N,Y,Y,N,N,Price Limited Supports
04_121_0136_6_1,Group Activities In The Community - 1:3 - Standard - Saturday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$36.17,$36.17,$36.17,$36.17,$36.17,$36.17,$36.17,$36.17,$50.64,$54.26,N,Y,Y,N,N,Price Limited Supports
04_121_0136_6_1_T,Group Activities In The Community - 1:3 - Standard - Saturday - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$37.26,$37.26,$37.26,$37.26,$37.26,$37.26,$37.26,$37.26,$52.16,$55.89,N,Y,Y,N,N,Price Limited Supports
04_122_0136_6_1,Group Activities In The Community - 1:3 - Standard - Sunday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$46.64,$46.64,$46.64,$46.64,$46.64,$46.64,$46.64,$46.64,$65.30,$69.96,N,Y,Y,N,N,Price Limited Supports
04_122_0136_6_1_T,Group Activities In The Community - 1:3 - Standard - Sunday - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$48.05,$48.05,$48.05,$48.05,$48.05,$48.05,$48.05,$48.05,$67.27,$72.08,N,Y,Y,N,N,Price Limited Supports
04_123_0136_6_1,Group Activities In The Community - 1:3 - Standard - Weekday Evening,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$28.31,$28.31,$28.31,$28.31,$28.31,$28.31,$28.31,$28.31,$39.63,$42.47,N,Y,Y,N,N,Price Limited Supports
04_123_0136_6_1_T,Group Activities In The Community - 1:3 - Standard - Weekday Evening - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$29.16,$29.16,$29.16,$29.16,$29.16,$29.16,$29.16,$29.16,$40.82,$43.74,N,Y,Y,N,N,Price Limited Supports
04_124_0104_6_1,Group Activities In The Community - 1:3 - High Intensity - Weekday Daytime,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$27.81,$27.81,$27.81,$27.81,$27.81,$27.81,$27.81,$27.81,$38.93,$41.72,N,Y,Y,N,N,Price Limited Supports
04_124_0104_6_1_T,Group Activities In The Community - 1:3 - High Intensity - Weekday Daytime - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$28.58,$28.58,$28.58,$28.58,$28.58,$28.58,$28.58,$28.58,$40.01,$42.87,N,Y,Y,N,N,Price Limited Supports
04_125_0104_6_1,Group Activities In The Community - 1:3 - High Intensity - Saturday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$39.15,$39.15,$39.15,$39.15,$39.15,$39.15,$39.15,$39.15,$54.81,$58.73,N,Y,Y,N,N,Price Limited Supports
04_125_0104_6_1_T,Group Activities In The Community - 1:3 - High Intensity - Saturday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$40.23,$40.23,$40.23,$40.23,$40.23,$40.23,$40.23,$40.23,$56.32,$60.35,N,Y,Y,N,N,Price Limited Supports
04_126_0104_6_1,Group Activities In The Community - 1:3 - High Intensity - Sunday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$50.48,$50.48,$50.48,$50.48,$50.48,$50.48,$50.48,$50.48,$70.67,$75.72,N,Y,Y,N,N,Price Limited Supports
04_126_0104_6_1_T,Group Activities In The Community - 1:3 - High Intensity - Sunday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$51.89,$51.89,$51.89,$51.89,$51.89,$51.89,$51.89,$51.89,$72.65,$77.84,N,Y,Y,N,N,Price Limited Supports
04_127_0104_6_1,Group Activities In The Community - 1:3 - High Intensity - Weekday Evening,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$30.64,$30.64,$30.64,$30.64,$30.64,$30.64,$30.64,$30.64,$42.90,$45.96,N,Y,Y,N,N,Price Limited Supports
04_127_0104_6_1_T,Group Activities In The Community - 1:3 - High Intensity - Weekday Evening - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$31.50,$31.50,$31.50,$31.50,$31.50,$31.50,$31.50,$31.50,$44.10,$47.25,N,Y,Y,N,N,Price Limited Supports
04_128_0136_6_1,Group Activities In The Community - 1:2 - Standard - Public Holiday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$77.39,$77.39,$77.39,$77.39,$77.39,$77.39,$77.39,$77.39,$108.35,$116.09,N,Y,Y,N,N,Price Limited Supports
04_128_0136_6_1_T,Group Activities In The Community - 1:2 - Standard - Public Holiday - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$79.72,$79.72,$79.72,$79.72,$79.72,$79.72,$79.72,$79.72,$111.61,$119.58,N,Y,Y,N,N,Price Limited Supports
04_129_0136_6_1,Group Activities In The Community - 1:3 - Standard - Public Holiday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$57.12,$57.12,$57.12,$57.12,$57.12,$57.12,$57.12,$57.12,$79.97,$85.68,N,Y,Y,N,N,Price Limited Supports
04_129_0136_6_1_T,Group Activities In The Community - 1:3 - Standard - Public Holiday - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$58.84,$58.84,$58.84,$58.84,$58.84,$58.84,$58.84,$58.84,$82.38,$88.26,N,Y,Y,N,N,Price Limited Supports
04_130_0104_6_1,Group Activities In The Community - 1:2 - High Intensity - Public Holiday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$83.76,$83.76,$83.76,$83.76,$83.76,$83.76,$83.76,$83.76,$117.26,$125.64,N,Y,Y,N,N,Price Limited Supports
04_130_0104_6_1_T,Group Activities In The Community - 1:2 - High Intensity - Public Holiday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$86.08,$86.08,$86.08,$86.08,$86.08,$86.08,$86.08,$86.08,$120.51,$129.12,N,Y,Y,N,N,Price Limited Supports
04_131_0104_6_1,Group Activities In The Community - 1:3 - High Intensity - Public Holiday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$61.82,$61.82,$61.82,$61.82,$61.82,$61.82,$61.82,$61.82,$86.55,$92.73,N,Y,Y,N,N,Price Limited Supports
04_131_0104_6_1_T,Group Activities In The Community - 1:3 - High Intensity - Public Holiday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$63.54,$63.54,$63.54,$63.54,$63.54,$63.54,$63.54,$63.54,$88.96,$95.31,N,Y,Y,N,N,Price Limited Supports
04_136_0136_6_1,Group Activities In The Community - 1:4 - Standard - Weekday Daytime,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$21.14,$21.14,$21.14,$21.14,$21.14,$21.14,$21.14,$21.14,$29.60,$31.71,N,Y,Y,N,N,Price Limited Supports
04_136_0136_6_1_T,Group Activities In The Community - 1:4 - Standard - Weekday Daytime - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$21.77,$21.77,$21.77,$21.77,$21.77,$21.77,$21.77,$21.77,$30.48,$32.66,N,Y,Y,N,N,Price Limited Supports
04_137_0136_6_1,Group Activities In The Community - 1:4 - Standard - Weekday Evening,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$23.29,$23.29,$23.29,$23.29,$23.29,$23.29,$23.29,$23.29,$32.61,$34.94,N,Y,Y,N,N,Price Limited Supports
04_137_0136_6_1_T,Group Activities In The Community - 1:4 - Standard - Weekday Evening - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$23.99,$23.99,$23.99,$23.99,$23.99,$23.99,$23.99,$23.99,$33.59,$35.99,N,Y,Y,N,N,Price Limited Supports
04_138_0136_6_1,Group Activities In The Community - 1:4 - Standard - Saturday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$29.75,$29.75,$29.75,$29.75,$29.75,$29.75,$29.75,$29.75,$41.65,$44.63,N,Y,Y,N,N,Price Limited Supports
04_138_0136_6_1_T,Group Activities In The Community - 1:4 - Standard - Saturday - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$30.65,$30.65,$30.65,$30.65,$30.65,$30.65,$30.65,$30.65,$42.91,$45.98,N,Y,Y,N,N,Price Limited Supports
04_139_0136_6_1,Group Activities In The Community - 1:4 - Standard - Sunday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$38.37,$38.37,$38.37,$38.37,$38.37,$38.37,$38.37,$38.37,$53.72,$57.56,N,Y,Y,N,N,Price Limited Supports
04_139_0136_6_1_T,Group Activities In The Community - 1:4 - Standard - Sunday - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$39.52,$39.52,$39.52,$39.52,$39.52,$39.52,$39.52,$39.52,$55.33,$59.28,N,Y,Y,N,N,Price Limited Supports
04_140_0136_6_1,Group Activities In The Community - 1:4 - Standard - Public Holiday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$46.99,$46.99,$46.99,$46.99,$46.99,$46.99,$46.99,$46.99,$65.79,$70.49,N,Y,Y,N,N,Price Limited Supports
04_140_0136_6_1_T,Group Activities In The Community - 1:4 - Standard - Public Holiday -TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$48.40,$48.40,$48.40,$48.40,$48.40,$48.40,$48.40,$48.40,$67.76,$72.60,N,Y,Y,N,N,Price Limited Supports
04_141_0136_6_1,Group Activities In The Community - 1:5 - Standard - Weekday Daytime,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$18.40,$18.40,$18.40,$18.40,$18.40,$18.40,$18.40,$18.40,$25.76,$27.60,N,Y,Y,N,N,Price Limited Supports
04_141_0136_6_1_T,Group Activities In The Community - 1:5 - Standard - Weekday Daytime - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$18.96,$18.96,$18.96,$18.96,$18.96,$18.96,$18.96,$18.96,$26.54,$28.44,N,Y,Y,N,N,Price Limited Supports
04_142_0136_6_1,Group Activities In The Community - 1:5 - Standard - Weekday Evening,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$20.28,$20.28,$20.28,$20.28,$20.28,$20.28,$20.28,$20.28,$28.39,$30.42,N,Y,Y,N,N,Price Limited Supports
04_142_0136_6_1_T,Group Activities In The Community - 1:5 - Standard - Weekday Evening - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$20.89,$20.89,$20.89,$20.89,$20.89,$20.89,$20.89,$20.89,$29.25,$31.34,N,Y,Y,N,N,Price Limited Supports
04_143_0136_6_1,Group Activities In The Community - 1:5 - Standard - Saturday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$25.90,$25.90,$25.90,$25.90,$25.90,$25.90,$25.90,$25.90,$36.26,$38.85,N,Y,Y,N,N,Price Limited Supports
04_143_0136_6_1_T,Group Activities In The Community - 1:5 - Standard - Saturday - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20220701,99991231,$26.68,$26.68,$26.68,$26.68,$26.68,$26.68,$26.68,$26.68,$37.35,$40.02,N,Y,Y,N,N,Price Limited Supports
